station_code,monomodal_stop_id,monomodal_code,stop_name,parent_station,stop_lat,stop_lon,zone_id
790,monomodalStopPlace:58793,58793,Villepinte,IDFM:73547,48.96256540760733,2.512783848981341,4
ABL,monomodalStopPlace:46387,46387,Ablon,IDFM:69554,48.72578126379895,2.4198671478914595,4
ACH,monomodalStopPlace:46647,46647,Achères Ville,IDFM:73604,48.970643570814424,2.0777265246565433,5
AER,monomodalStopPlace:462398,462398,Aéroport CDG 1 (Terminal 3) - RER,IDFM:73596,49.00979397116337,2.5614121946317394,5
AIS,monomodalStopPlace:43156,43156,Maisse,IDFM:59470,48.39367132989446,2.393493661032251,5
ALE,monomodalStopPlace:43213,43213,Val d'Europe,IDFM:68266,48.85484622851565,2.7724268942340276,5
ALF,monomodalStopPlace:47900,47900,Val de Fontenay,IDFM:71718,48.85424654032024,2.4890536307751616,3
ALM,monomodalStopPlace:415091,415091,Pont de l'Alma,IDFM:492980,48.86247496310803,2.3003592740110994,1
AMA,monomodalStopPlace:47927,47927,Gare de Chamarande,IDFM:59734,48.51405318948937,2.2151562718541644,5
ANT,monomodalStopPlace:43066,43066,Antony,IDFM:69759,48.754632057173126,2.300890371505836,3
ARD,monomodalStopPlace:43149,43149,Lardy,IDFM:59761,48.520620553497956,2.255014220399748,5
ARG,monomodalStopPlace:43251,43251,Garges - Sarcelles,IDFM:65582,48.97632635843972,2.3899547555239407,4
ARN,monomodalStopPlace:43239,43239,Marne-la-Vallée Chessy,IDFM:68385,48.86979506673141,2.7824826512673546,5
ARO,monomodalStopPlace:43159,43159,Marolles-en-Hurepoix,IDFM:59948,48.56564453550255,2.290908349251896,5
ARP,monomodalStopPlace:43068,43068,Arpajon,IDFM:60072,48.58599680822646,2.2412169696111426,5
ART,monomodalStopPlace:43191,43191,Sartrouville,IDFM:64918,48.93769529363442,2.1572200388507317,4
ASS,monomodalStopPlace:58774,58774,Massy - Palaiseau,IDFM:63244,48.725169897390685,2.2583036495255926,4
ATH,monomodalStopPlace:46395,46395,Athis-Mons,IDFM:63134,48.71266832171659,2.403668724287269,4
ATO,monomodalStopPlace:53783,53783,Chatou - Croissy,IDFM:64483,48.88519702561107,2.1559376624708975,4
AUL,monomodalStopPlace:43071,43071,Aulnay-sous-Bois,IDFM:72646,48.932150935734064,2.495597257086315,4
AUR,monomodalStopPlace:44801,44801,Saint-Maur - Créteil,IDFM:70393,48.80619648110731,2.4729094308778183,3
AUS,monomodalStopPlace:43072,43072,Gare d'Austerlitz,IDFM:71135,48.84032035638395,2.367818767583529,1
AVE,monomodalStopPlace:45419,45419,Avenue du Président Kennedy Maison de Radio France,IDFM:71212,48.85352548506894,2.279679454187814,1
BAC,monomodalStopPlace:43228,43228,Les Baconnets,IDFM:69622,48.73984612871272,2.288108127151424,4
